pokedex_number,name,german_name,japanese_name,generation,status,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,normal,fire,water,electric,grass,ice,fight,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy
200,Misdreavus,Traunfugil,ムウマ (Muma),2,Normal,Screech Pokémon,Ghost,,0.7,1.0,Levitate,,,60,60,60,85,85,85,45.0,35.0,87.0,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
201,Unown,Icognito,アンノーン (Unknown),2,Normal,Symbol Pokémon,Psychic,,0.5,5.0,Levitate,,,48,72,48,72,48,48,225.0,70.0,118.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
202,Wobbuffet,Woingenau,ソーナンス (Sonans),2,Normal,Patient Pokémon,Psychic,,1.3,28.5,Shadow Tag,,Telepathy,190,33,58,33,58,33,45.0,70.0,142.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
203,Girafarig,Girafarig,キリンリキ (Kirinriki),2,Normal,Long Neck Pokémon,Normal,Psychic,1.5,41.5,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,60.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
204,Pineco,Tannza,クヌギダマ (Kunugidama),2,Normal,Bagworm Pokémon,Bug,,0.6,7.2,Sturdy,,Overcoat,50,65,90,35,35,15,190.0,70.0,58.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
205,Forretress,Forstellka,フォレトス (Foretos),2,Normal,Bagworm Pokémon,Bug,Steel,1.2,125.8,Sturdy,,Overcoat,75,90,140,60,60,40,75.0,70.0,163.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
206,Dunsparce,Dummisel,ノコッチ (Nokocchi),2,Normal,Land Snake Pokémon,Normal,,1.5,14.0,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,190.0,70.0,145.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
207,Gligar,Skorgla,グライガー (Gliger),2,Normal,FlyScorpion Pokémon,Ground,Flying,1.1,64.8,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,60.0,70.0,86.0,Medium Slow,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
208,Steelix,Stahlos,ハガネール (Haganeil),2,Normal,Iron Snake Pokémon,Steel,Ground,9.2,400.0,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,25.0,70.0,179.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
208,Mega Steelix,Stahlos,ハガネール (Haganeil),2,Normal,Iron Snake Pokémon,Steel,Ground,10.5,740.0,Sand Force,,,75,125,230,55,95,30,25.0,70.0,214.0,Medium Fast,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
209,Snubbull,Snubbull,ブルー (Bulu),2,Normal,Fairy Pokémon,Fairy,,0.6,7.8,Intimidate,Run Away,Rattled,60,80,50,40,40,30,190.0,70.0,60.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
210,Granbull,Granbull,グランブル (Granbulu),2,Normal,Fairy Pokémon,Fairy,,1.4,48.7,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,75.0,70.0,158.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
211,Qwilfish,Baldorfish,ハリーセン (Harysen),2,Normal,Balloon Pokémon,Water,Poison,0.5,3.9,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,45.0,70.0,88.0,Medium Fast,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
212,Scizor,Scherox,ハッサム (Hassam),2,Normal,Pincer Pokémon,Bug,Steel,1.8,118.0,Swarm,Technician,Light Metal,70,130,100,55,80,65,25.0,70.0,175.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
212,Mega Scizor,Scherox,ハッサム (Hassam),2,Normal,Pincer Pokémon,Bug,Steel,2.0,125.0,Technician,,,70,150,140,65,100,75,25.0,70.0,210.0,Medium Fast,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
213,Shuckle,Pottrott,ツボツボ (Tsubotsubo),2,Normal,Mold Pokémon,Bug,Rock,0.6,20.5,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,190.0,70.0,177.0,Medium Slow,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
214,Heracross,Skaraborn,ヘラクロス (Heracros),2,Normal,Single Horn Pokémon,Bug,Fighting,1.5,54.0,Swarm,Guts,Moxie,80,125,75,40,95,85,45.0,70.0,175.0,Slow,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
214,Mega Heracross,Skaraborn,ヘラクロス (Heracros),2,Normal,Single Horn Pokémon,Bug,Fighting,1.7,62.5,Skill Link,,,80,185,115,40,105,75,45.0,70.0,210.0,Slow,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
215,Sneasel,Sniebel,ニューラ (Nyula),2,Normal,Sharp Claw Pokémon,Dark,Ice,0.9,28.0,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,60.0,35.0,86.0,Medium Slow,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
216,Teddiursa,Teddiursa,ヒメグマ (Himeguma),2,Normal,Little Bear Pokémon,Normal,,0.6,8.8,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,120.0,70.0,66.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
217,Ursaring,Ursaring,リングマ (Ringuma),2,Normal,Hibernator Pokémon,Normal,,1.8,125.8,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,60.0,70.0,175.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
218,Slugma,Schneckmag,マグマッグ (Magmag),2,Normal,Lava Pokémon,Fire,,0.7,35.0,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,190.0,70.0,50.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
219,Magcargo,Magcargo,マグカルゴ (Magcargot),2,Normal,Lava Pokémon,Fire,Rock,0.8,55.0,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,75.0,70.0,151.0,Medium Fast,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
220,Swinub,Quiekel,ウリムー (Urimoo),2,Normal,Pig Pokémon,Ice,Ground,0.4,6.5,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,225.0,70.0,50.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
221,Piloswine,Keifel,イノムー (Inomoo),2,Normal,Swine Pokémon,Ice,Ground,1.1,55.8,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,75.0,70.0,158.0,Slow,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
222,Corsola,Corasonn,サニーゴ (Sunnygo),2,Normal,Coral Pokémon,Water,Rock,0.6,5.0,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,60.0,70.0,144.0,Fast,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,Galarian Corsola,Corasonn,サニーゴ (Sunnygo),2,Normal,Coral Pokémon,Ghost,,0.6,0.5,Weak Armor,,Cursed Body,60,55,100,65,100,30,,,,Fast,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
223,Remoraid,Remoraid,テッポウオ (Teppouo),2,Normal,Jet Pokémon,Water,,0.6,12.0,Hustle,Sniper,Moody,35,65,35,65,35,65,190.0,70.0,60.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
224,Octillery,Octillery,オクタン (Okutank),2,Normal,Jet Pokémon,Water,,0.9,28.5,Suction Cups,Sniper,Moody,75,105,75,105,75,45,75.0,70.0,168.0,Medium Fast,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
225,Delibird,Botogel,デリバード (Delibird),2,Normal,Delivery Pokémon,Ice,Flying,0.9,16.0,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,45.0,70.0,116.0,Fast,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
226,Mantine,Mantax,マンタイン (Mantain),2,Normal,Kite Pokémon,Water,Flying,2.1,220.0,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,25.0,70.0,170.0,Slow,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
227,Skarmory,Panzaeron,エアームド (Airmd),2,Normal,Armor Bird Pokémon,Steel,Flying,1.7,50.5,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,25.0,70.0,163.0,Slow,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
228,Houndour,Hunduster,デルビル (Delvil),2,Normal,Dark Pokémon,Dark,Fire,0.6,10.8,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,120.0,35.0,66.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,Dark,Fire,1.4,35.0,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,45.0,35.0,175.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,Mega Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,Dark,Fire,1.9,49.5,Solar Power,,,75,90,90,140,90,115,45.0,35.0,210.0,Slow,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
230,Kingdra,Seedraking,キングドラ (Kingdra),2,Normal,Dragon Pokémon,Water,Dragon,1.8,152.0,Swift Swim,Sniper,Damp,75,95,95,95,95,85,45.0,70.0,243.0,Medium Fast,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
231,Phanpy,Phanpy,ゴマゾウ (Gomazou),2,Normal,Long Nose Pokémon,Ground,,0.5,33.5,Pickup,,Sand Veil,90,60,60,40,40,40,120.0,70.0,66.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
232,Donphan,Donphan,ドンファン (Donfan),2,Normal,Armor Pokémon,Ground,,1.1,120.0,Sturdy,,Sand Veil,90,120,120,60,60,50,60.0,70.0,175.0,Medium Fast,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
233,Porygon2,Porygon2,ポリゴン２ (Porygon2),2,Normal,Virtual Pokémon,Normal,,0.6,32.5,Trace,Download,Analytic,85,80,90,105,95,60,45.0,70.0,180.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
234,Stantler,Damhirplex,オドシシ (Odoshishi),2,Normal,Big Horn Pokémon,Normal,,1.4,71.2,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,45.0,70.0,163.0,Slow,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
235,Smeargle,Farbeagle,ドーブル (Doble),2,Normal,Painter Pokémon,Normal,,1.2,58.0,Own Tempo,Technician,Moody,55,20,35,20,45,75,45.0,70.0,88.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
236,Tyrogue,Rabauz,バルキー (Balkie),2,Normal,Scuffle Pokémon,Fighting,,0.7,21.0,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,75.0,70.0,42.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
237,Hitmontop,Kapoera,カポエラー (Kapoerer),2,Normal,Handstand Pokémon,Fighting,,1.4,48.0,Intimidate,Technician,Steadfast,50,95,95,35,110,70,45.0,70.0,159.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
238,Smoochum,Kussilla,ムチュール (Muchul),2,Normal,Kiss Pokémon,Ice,Psychic,0.4,6.0,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,45.0,70.0,61.0,Medium Fast,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
239,Elekid,Elekid,エレキッド (Elekid),2,Normal,Electric Pokémon,Electric,,0.6,23.5,Static,,Vital Spirit,45,63,37,65,55,95,45.0,70.0,72.0,Medium Fast,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
240,Magby,Magby,ブビィ (Buby),2,Normal,Live Coal Pokémon,Fire,,0.7,21.4,Flame Body,,Vital Spirit,45,75,37,70,55,83,45.0,70.0,73.0,Medium Fast,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
241,Miltank,Miltank,ミルタンク (Miltank),2,Normal,Milk Cow Pokémon,Normal,,1.2,75.5,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,45.0,70.0,172.0,Slow,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
242,Blissey,Heiteira,ハピナス (Happinas),2,Normal,Happiness Pokémon,Normal,,1.5,46.8,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,30.0,140.0,608.0,Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
243,Raikou,Raikou,ライコウ (Raikou),2,Sub Legendary,Thunder Pokémon,Electric,,1.9,178.0,Pressure,,Inner Focus,90,85,75,115,100,115,3.0,35.0,261.0,Slow,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
244,Entei,Entei,エンテイ (Entei),2,Sub Legendary,Volcano Pokémon,Fire,,2.1,198.0,Pressure,,Inner Focus,115,115,85,90,75,100,3.0,35.0,261.0,Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
245,Suicune,Suicune,スイクン (Suicune),2,Sub Legendary,Aurora Pokémon,Water,,2.0,187.0,Pressure,,Inner Focus,100,75,115,90,115,85,3.0,35.0,261.0,Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
246,Larvitar,Larvitar,ヨーギラス (Yogiras),2,Normal,Rock Skin Pokémon,Rock,Ground,0.6,72.0,Guts,,Sand Veil,50,64,50,45,50,41,45.0,35.0,60.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
247,Pupitar,Pupitar,サナギラス (Sanagiras),2,Normal,Hard Shell Pokémon,Rock,Ground,1.2,152.0,Shed Skin,,,70,84,70,65,70,51,45.0,35.0,144.0,Slow,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
248,Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,Rock,Dark,2.0,202.0,Sand Stream,,Unnerve,100,134,110,95,100,61,45.0,35.0,270.0,Slow,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
248,Mega Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,Rock,Dark,2.5,255.0,Sand Stream,,,100,164,150,95,120,71,45.0,35.0,315.0,Slow,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
249,Lugia,Lugia,ルギア (Lugia),2,Legendary,Diving Pokémon,Psychic,Flying,5.2,216.0,Pressure,,Multiscale,106,90,130,90,154,110,3.0,0.0,306.0,Slow,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
250,Ho-oh,Ho-Oh,ホウオウ (Houou),2,Legendary,Rainbow Pokémon,Fire,Flying,3.8,199.0,Pressure,,Regenerator,106,130,90,110,154,90,3.0,0.0,306.0,Slow,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
251,Celebi,Celebi,セレビィ (Celebi),2,Mythical,Time Travel Pokémon,Psychic,Grass,0.6,5.0,Natural Cure,,,100,100,100,100,100,100,45.0,100.0,270.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
252,Treecko,Geckarbor,キモリ (Kimori),3,Normal,Wood Gecko Pokémon,Grass,,0.5,5.0,Overgrow,,Unburden,40,45,35,65,55,70,45.0,70.0,62.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
253,Grovyle,Reptain,ジュプトル (Juptile),3,Normal,Wood Gecko Pokémon,Grass,,0.9,21.6,Overgrow,,Unburden,50,65,45,85,65,95,45.0,70.0,142.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,Grass,,1.7,52.2,Overgrow,,Unburden,70,85,65,105,85,120,45.0,70.0,239.0,Medium Slow,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,Mega Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,Grass,Dragon,1.9,55.2,Lightning Rod,,,70,110,75,145,85,145,45.0,70.0,284.0,Medium Slow,1.0,1.0,0.25,0.0,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
255,Torchic,Flemmli,アチャモ (Achamo),3,Normal,Chick Pokémon,Fire,,0.4,2.5,Blaze,,Speed Boost,45,60,40,70,50,45,45.0,70.0,62.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
256,Combusken,Jungglut,ワカシャモ (Wakasyamo),3,Normal,Young Fowl Pokémon,Fire,Fighting,0.9,19.5,Blaze,,Speed Boost,60,85,60,85,60,55,45.0,70.0,142.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52.0,Blaze,,Speed Boost,80,120,70,110,70,80,45.0,70.0,239.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,Mega Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,Fire,Fighting,1.9,52.0,Speed Boost,,,80,160,80,130,80,100,45.0,70.0,284.0,Medium Slow,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
258,Mudkip,Hydropi,ミズゴロウ (Mizugorou),3,Normal,Mud Fish Pokémon,Water,,0.4,7.6,Torrent,,Damp,50,70,50,50,50,40,45.0,70.0,62.0,Medium Slow,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
259,Marshtomp,Moorabbel,ヌマクロー (Numacraw),3,Normal,Mud Fish Pokémon,Water,Ground,0.7,28.0,Torrent,,Damp,70,85,70,60,70,50,45.0,70.0,142.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,Water,Ground,1.5,81.9,Torrent,,Damp,100,110,90,85,90,60,45.0,70.0,241.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,Mega Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,Water,Ground,1.9,102.0,Swift Swim,,,100,150,110,95,110,70,45.0,70.0,286.0,Medium Slow,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
261,Poochyena,Fiffyen,ポチエナ (Pochiena),3,Normal,Bite Pokémon,Dark,,0.5,13.6,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,255.0,70.0,56.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
262,Mightyena,Magnayen,グラエナ (Graena),3,Normal,Bite Pokémon,Dark,,1.0,37.0,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,127.0,70.0,147.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
263,Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,TinyRaccoon Pokémon,Normal,,0.4,17.5,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,255.0,70.0,56.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
263,Galarian Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,Tiny Raccoon Pokémon,Dark,Normal,0.4,17.5,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,,,,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
264,Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,Normal,,0.5,32.5,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,90.0,70.0,147.0,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
264,Galarian Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,Dark,Normal,0.5,32.5,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,,,,Medium Fast,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
265,Wurmple,Waumpel,ケムッソ (Kemusso),3,Normal,Worm Pokémon,Bug,,0.3,3.6,Shield Dust,,Run Away,45,45,35,20,30,20,255.0,70.0,56.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
266,Silcoon,Schaloko,カラサリス (Karasalis),3,Normal,Cocoon Pokémon,Bug,,0.6,10.0,Shed Skin,,,50,35,55,25,25,15,120.0,70.0,72.0,Medium Fast,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
267,Beautifly,Papinella,アゲハント (Agehunt),3,Normal,Butterfly Pokémon,Bug,Flying,1.0,28.4,Swarm,,Rivalry,60,70,50,100,50,65,45.0,70.0,178.0,Medium Fast,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
